Name,Class,Ship Type,Navy,Navy Acronym,Country,Launch Year,Launch Note
A (Planned),No Classification,No Classification,Kriegsmarine,KM,Germany,,No Data
ABSD-1,No Classification,No Classification,United States Navy,USN,United States,,No Data
ABSD-2,No Classification,No Classification,United States Navy,USN,United States,,No Data
Abukuma,Nagara-class Light Cruiser,Light Cruiser,Imperial Japanese Navy,IJN,Japan,1923,Actual
Acasta,A and B-class Destroyer,Destroyer,Royal Navy,RN,United Kingdom,1929,Actual
Acavus,Rapana-class Merchant Vessel,Merchant Vessel,Royal Navy,RN,United Kingdom,,No Data
Activity,Activity-class Escort Carrier,Escort Carrier,Royal Navy,RN,United Kingdom,1942,Actual
Adelaide,Town-class Light Cruiser,Light Cruiser,Royal Australian Navy,RAN,Australia,1918,Actual
Admiral Graf Spee,Deutschland-class Heavy Cruiser,Heavy Cruiser,Kriegsmarine,KM,Germany,1934,Actual
Admiral Hipper,Admiral Hipper-class Heavy Cruiser,Heavy Cruiser,Kriegsmarine,KM,Germany,1937,Actual
Admiral Scheer,Deutschland-class Heavy Cruiser,Heavy Cruiser,Kriegsmarine,KM,Germany,1933,Actual
Adolf LÃ¼deritz,Carl Peters-class Tender,Tender,Kriegsmarine,KM,Germany,1939,Actual
Adula,Rapana-class Merchant Vessel,Merchant Vessel,Royal Navy,RN,United Kingdom,,No Data
Agano,Agano-class Light Cruiser,Light Cruiser,Imperial Japanese Navy,IJN,Japan,1941,Actual
Akagi,Akagi-class Aircraft Carrier,Aircraft Carrier,Imperial Japanese Navy,IJN,Japan,1925,Actual
Akashi,Akashi-class Repair Ship,Repair Ship,Imperial Japanese Navy,IJN,Japan,1938,Actual
Alabama,South Dakota-class Battleship,Battleship,United States Navy,USN,United States,1942,Actual
Alaska,Alaska-class Large Cruiser,Large Cruiser,United States Navy,USN,United States,1943,Actual
Albacore,Gato-class Submarine,Submarine,United States Navy,USN,United States,1942,Actual
Albatros,1923-class Motor Torpedo Boat,Motor Torpedo Boat,Kriegsmarine,KM,Germany,1926,Actual
Albatross,No Classification,No Classification,Royal Navy,RN,United Kingdom,,No Data
Albert Leo Schlageter,Gorch Fock-class Barque,Barque,Kriegsmarine,KM,Germany,1937,Actual
Albert W. Grant,Fletcher-class Destroyer,Destroyer,United States Navy,USN,United States,1943,Actual
Alfredo Oriani,Oriani-class Destroyer,Destroyer,Regia Marina,RM,Italy,,No Data
AlgÃ©rie,AlgÃ©rie-class Heavy Cruiser,Heavy Cruiser,French Navy,MN,France,1932,Actual
Alpino,Soldati-class Destroyer,Destroyer,Regia Marina,RM,Italy,,No Data
Altmark,Dithmarschen-class Auxiliary,Auxiliary,Kriegsmarine,KM,Germany,1937,Actual
Amagi,Unryu-class Aircraft Carrier,Aircraft Carrier,Imperial Japanese Navy,IJN,Japan,1943,Actual
Amagiri,Fubuki-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,1930,Actual
Amberjack,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Ambra,Perla-class Submarine,Submarine,Regia Marina,RM,Italy,,No Data
Ameer,Ruler-class Escort Carrier,Escort Carrier,Royal Navy,RN,United Kingdom,1942,Actual
Ancon,No Classification,No Classification,United States Navy,USN,United States,1938,Actual
Ancylus,Rapana-class Merchant Vessel,Merchant Vessel,Royal Navy,RN,United Kingdom,1935,Actual
Angler,Gato-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Anson,King George V (1939)-class Battleship,Battleship,Royal Navy,RN,United Kingdom,,No Data
Anticosti,Isles-class Trawler,Trawler,Royal Canadian Navy,RCN,Canada,1942,Actual
Anzio,Casablanca-class Escort Carrier,Escort Carrier,United States Navy,USN,United States,1943,Actual
Aoba,Furutaka-class Heavy Cruiser,Heavy Cruiser,Imperial Japanese Navy,IJN,Japan,1926,Actual
Apogon,Balao-class Submarine,Submarine,United States Navy,USN,United States,1943,Actual
Arashio,Asashio-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,,No Data
Arbiter,Ruler-class Escort Carrier,Escort Carrier,Royal Navy,RN,United Kingdom,1943,Actual
Archer,Archer-class Escort Carrier,Escort Carrier,Royal Navy,RN,United Kingdom,,No Data
Archerfish,Balao-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Argonaut (Argonaut-class),Argonaut-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Argonaut (Tench-class),Tench-class Submarine,Submarine,United States Navy,USN,United States,,No Data
Argus,Argus-class Aircraft Carrier,Aircraft Carrier,Royal Navy,RN,United Kingdom,1917,Actual
Arisan Maru,No Classification,No Classification,Imperial Japanese Navy,IJN,Japan,,No Data
Arizona,Pennsylvania-class Battleship,Battleship,United States Navy,USN,United States,1915,Actual
Ark Royal,Ark Royal-class Aircraft Carrier,Aircraft Carrier,Royal Navy,RN,United Kingdom,1937,Actual
Armidale,Bathurst-class Corvette,Corvette,Royal Australian Navy,RAN,Australia,1942,Actual
Artigliere,Soldati-class Destroyer,Destroyer,Regia Marina,RM,Italy,,No Data
Asagumo,Asashio-class Destroyer,Destroyer,Imperial Japanese Navy,IJN,Japan,,No Data
